school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason_home,reason_reputation,reason_course,reason_other,guardian_mother,guardian_father,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,grade_avg,grade_improvement
1,0,18,1,1,0,0.8,0.8,0,1,0,0,1,0,1,0,0,0.3333,0.3333,0.0,1,0,0,0,1,1,0,0,0.75,0.5,0.75,0.0,0.0,0.5,0.043,7.3,11
1,0,17,1,1,1,0.2,0.2,0,1,0,0,1,0,0,1,0,0.0,0.3333,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,0.0,0.0,0.5,0.0215,10.3,2
1,0,15,1,0,1,0.2,0.2,0,1,0,0,0,1,1,0,0,0.0,0.3333,0.0,1,0,0,0,1,1,1,0,0.75,0.5,0.25,0.25,0.5,0.5,0.0645,12.3,0
1,0,15,1,1,1,0.8,0.4,1,1,1,0,0,0,1,0,0,0.0,0.6667,0.0,0,1,0,1,1,1,1,1,0.5,0.25,0.25,0.0,0.0,1.0,0.0,14.0,0
1,0,16,1,1,1,0.6,0.6,1,1,1,0,0,0,0,1,0,0.0,0.3333,0.0,0,1,0,0,1,1,0,0,0.75,0.5,0.25,0.0,0.25,1.0,0.0,12.3,2
1,1,16,1,0,1,0.8,0.6,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,0,1.0,0.75,0.25,0.0,0.25,1.0,0.0645,12.3,1
1,1,16,1,0,1,0.4,0.4,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,12.7,0
1,0,17,1,1,0,0.8,0.8,1,1,1,0,0,0,1,0,0,0.3333,0.3333,0.0,1,1,0,0,1,1,0,0,0.75,0.0,0.75,0.0,0.0,0.0,0.0215,12.0,3
1,1,15,1,0,0,0.6,0.4,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,0,1,1,1,0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,16.0,2
1,1,15,1,1,1,0.6,0.8,1,1,1,0,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.3,1
1,0,15,1,1,1,0.8,0.8,1,1,0,1,0,0,1,0,0,0.0,0.3333,0.0,0,1,0,0,1,1,1,0,0.5,0.5,0.5,0.0,0.25,0.25,0.0215,14.0,0
1,0,15,1,1,1,0.4,0.2,1,1,0,1,0,0,0,1,0,0.6667,0.6667,0.0,0,1,0,1,1,1,1,0,1.0,0.25,0.25,0.0,0.0,0.75,0.0,11.7,3
1,1,15,1,0,1,0.8,0.8,1,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.5,0.0,0.5,1.0,0.0,12.3,0
1,1,15,1,1,1,0.8,0.6,1,1,0,0,1,0,1,0,0,0.3333,0.3333,0.0,0,1,0,0,1,1,1,0,1.0,0.75,0.5,0.0,0.25,0.5,0.0,12.3,1
1,1,15,1,1,0,0.4,0.4,1,1,1,0,0,0,0,0,1,0.0,0.6667,0.0,0,1,0,0,1,1,1,1,0.75,1.0,0.25,0.0,0.0,0.5,0.0,14.3,1
1,0,16,1,1,1,0.8,0.8,1,1,1,0,0,0,1,0,0,0.0,0.0,0.0,0,1,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.25,0.25,0.0645,17.0,0
1,0,16,1,1,1,0.8,0.8,1,1,0,1,0,0,1,0,0,0.0,0.6667,0.0,0,1,0,1,1,1,1,0,0.5,0.25,0.5,0.0,0.25,0.25,0.1075,13.3,1
