school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason_home,reason_reputation,reason_course,reason_other,guardian_mother,guardian_father,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,grade_avg,grade_improvement
1,0,18,1,1,0,4,4,0,1,0,0,1,0,1,0,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,7.3,11
1,0,17,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,10.3,2
1,0,15,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12.3,0
1,0,15,1,1,1,4,2,1,1,1,0,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14.0,0
1,0,16,1,1,1,3,3,1,1,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,12.3,2
1,1,16,1,0,1,4,3,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12.3,1
1,1,16,1,0,1,2,2,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12.7,0
1,0,17,1,1,0,4,4,1,1,1,0,0,0,1,0,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,12.0,3
1,1,15,1,0,0,3,2,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,16.0,2
1,1,15,1,1,1,3,4,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12.3,1
1,0,15,1,1,1,4,4,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14.0,0
1,0,15,1,1,1,2,1,1,1,0,1,0,0,0,1,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,11.7,3
1,1,15,1,0,1,4,4,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12.3,0
1,1,15,1,1,1,4,3,1,1,0,0,1,0,1,0,0,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12.3,1
1,1,15,1,1,0,2,2,1,1,1,0,0,0,0,0,1,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14.3,1
1,0,16,1,1,1,4,4,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17.0,0
1,0,16,1,1,1,4,4,1,1,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13.3,1
1,0,16,1,1,1,3,3,1,1,0,1,0,0,1,0,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13.7,1
1,1,17,1,1,1,3,2,1,1,0,0,1,0,1,0,0,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,7.7,-1
1,1,16,1,0,1,4,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12.0,0
1,1,15,1,1,1,4,3,1,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13.0,2
1,1,15,1,1,1,4,4,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11.7,1
1,1,16,1,0,1,4,2,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,13.0,2
1,1,16,1,0,1,2,2,1,1,0,1,0,0,1,0,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10.0,0
1,0,15,0,1,1,2,4,1,1,0,0,1,0,1,0,0,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10.3,0
1,0,16,1,1,1,2,2,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,11.0,2
